,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
43,frozenset({2783996}),frozenset({3524026}),0.027368599621137153,0.03491758319432271,0.0012723006022222851,0.04648760330578513,1.3313522601800114,0.0003166552480391195,1.0121341055990203
44,frozenset({3978011}),frozenset({2783996}),0.03189233509570528,0.027368599621137153,0.0012723006022222851,0.0398936170212766,1.4576418806048885,0.00039945205200478655,1.0130454474860178
45,frozenset({2783996}),frozenset({3978011}),0.027368599621137153,0.03189233509570528,0.0012723006022222851,0.04648760330578513,1.4576418806048885,0.00039945205200478655,1.0153068468335398
46,frozenset({4108011}),frozenset({2783996}),0.03553959682207583,0.027368599621137153,0.001526760722666742,0.04295942720763723,1.5696611373005385,0.0005540917265467103,1.0162906652337744
47,frozenset({2783996}),frozenset({4108011}),0.027368599621137153,0.03553959682207583,0.001526760722666742,0.05578512396694215,1.5696611373005385,0.0005540917265467103,1.0214416523809962
48,frozenset({2783996}),frozenset({5528349}),0.027368599621137153,0.03228816194972999,0.0012723006022222851,0.04648760330578513,1.439772365431098,0.0003886188253176898,1.0148917218122009
49,frozenset({5528349}),frozenset({2783996}),0.03228816194972999,0.027368599621137153,0.0012723006022222851,0.03940455341506129,1.439772365431098,0.0003886188253176898,1.012529680248552
50,frozenset({8718362}),frozenset({2783996}),0.015041420452939014,0.027368599621137153,0.0015550340693827928,0.10338345864661654,3.777447881066302,0.0011433714552731215,1.084779675055671
51,frozenset({2783996}),frozenset({8718362}),0.027368599621137153,0.015041420452939014,0.0015550340693827928,0.056818181818181816,3.777447881066302,0.0011433714552731215,1.044293433736643
52,frozenset({2783996}),frozenset({8798636}),0.027368599621137153,0.01198789900760553,0.003194888178913738,0.11673553719008264,9.737781167160454,0.0028667961706759547,1.1185914780826174
53,frozenset({8798636}),frozenset({2783996}),0.01198789900760553,0.027368599621137153,0.003194888178913738,0.2665094339622641,9.737781167160454,0.0028667961706759547,1.3260312339570348
54,frozenset({4628597}),frozenset({3161221}),0.06717747179733666,0.020667816449433118,0.002940428058469281,0.043771043771043766,2.117835905797602,0.0015520164018249572,1.0241607694173183
55,frozenset({3161221}),frozenset({4628597}),0.020667816449433118,0.06717747179733666,0.002940428058469281,0.14227086183310536,2.117835905797602,0.0015520164018249572,1.0875490719555772
56,frozenset({3524026}),frozenset({3898011}),0.03491758319432271,0.011281065339704261,0.003477621646074246,0.09959514170040486,8.828522723813583,0.003083714108554532,1.0980826297711017
57,frozenset({3898011}),frozenset({3524026}),0.011281065339704261,0.03491758319432271,0.003477621646074246,0.3082706766917293,8.828522723813581,0.003083714108554532,1.3951734938603815
58,frozenset({3524026}),frozenset({3978011}),0.03491758319432271,0.03189233509570528,0.005654669343210156,0.16194331983805668,5.077813190915095,0.004541066079244649,1.1551816098133372
59,frozenset({3978011}),frozenset({3524026}),0.03189233509570528,0.03491758319432271,0.005654669343210156,0.1773049645390071,5.077813190915094,0.004541066079244649,1.1730743169793147
60,frozenset({3524026}),frozenset({4108011}),0.03491758319432271,0.03553959682207583,0.0013005739489383359,0.03724696356275304,1.04804125238744,5.9617120210816e-05,1.0017734212991896
61,frozenset({4108011}),frozenset({3524026}),0.03553959682207583,0.03491758319432271,0.0013005739489383359,0.0365950676213206,1.0480412523874398,5.9617120210816e-05,1.0017412039015163
62,frozenset({3524026}),frozenset({4628597}),0.03491758319432271,0.06717747179733666,0.00435409539427182,0.12469635627530364,1.8562228220122954,0.002008420434004049,1.0657130641353276
63,frozenset({4628597}),frozenset({3524026}),0.06717747179733666,0.03491758319432271,0.00435409539427182,0.06481481481481481,1.8562228220122956,0.002008420434004049,1.0319693169803281
64,frozenset({3524026}),frozenset({5528349}),0.03491758319432271,0.03228816194972999,0.0017529474963951482,0.05020242914979757,1.5548246204896585,0.0006255229153236861,1.0188611423632425
65,frozenset({5528349}),frozenset({3524026}),0.03228816194972999,0.03491758319432271,0.0017529474963951482,0.05429071803852889,1.5548246204896585,0.0006255229153236861,1.0204852962889661
